
Study name: Estresse e Deformacao(-Valor predeterminado-)
Plot type: Static displacement Displacement1
21:25; quinta-feira; agosto 17; 2023


X Title: Parametric Distance
Y Title: URES (mm)

Point; X; Y1 (URES (mm))
1; 0;0,30597     ;
2; 0,0064935   ;0,31189     ;
3; 0,012987    ;0,32153     ;
4; 0,019481    ;0,33448     ;
5; 0,025974    ;0,35049     ;
6; 0,032468    ;0,36953     ;
7; 0,038961    ;0,39138     ;
8; 0,045455    ;0,41605     ;
9; 0,051948    ;0,44337     ;
10; 0,058442    ;0,47333     ;
11; 0,064935    ;0,50578     ;
12; 0,071429    ;0,5407      ;
13; 0,077922    ;0,57802     ;
14; 0,084416    ;0,61762     ;
15; 0,090909    ;0,65943     ;
16; 0,097403    ;0,70338     ;
17; 0,1039      ;0,7494      ;
18; 0,11039     ;0,79738     ;
19; 0,11688     ;0,84726     ;
20; 0,12338     ;0,89894     ;
21; 0,12987     ;0,95233     ;
22; 0,13636     ;1,0074      ;
23; 0,14286     ;1,0639      ;
24; 0,14935     ;1,1219      ;
25; 0,15584     ;1,1813      ;
26; 0,16234     ;1,2419      ;
27; 0,16883     ;1,3036      ;
28; 0,17532     ;1,3665      ;
29; 0,18182     ;1,4302      ;
30; 0,18831     ;1,4949      ;
31; 0,19481     ;1,5603      ;
32; 0,2013      ;1,6264      ;
33; 0,20779     ;1,6931      ;
34; 0,21429     ;1,7602      ;
35; 0,22078     ;1,8277      ;
36; 0,22727     ;1,8955      ;
37; 0,23377     ;1,9634      ;
38; 0,24026     ;2,0314      ;
39; 0,24675     ;2,0993      ;
40; 0,25325     ;2,1671      ;
41; 0,25974     ;2,2347      ;
42; 0,26623     ;2,3019      ;
43; 0,27273     ;2,3687      ;
44; 0,27922     ;2,4349      ;
45; 0,28571     ;2,5006      ;
46; 0,29221     ;2,5655      ;
47; 0,2987      ;2,6296      ;
48; 0,30519     ;2,6927      ;
49; 0,31169     ;2,7549      ;
50; 0,31818     ;2,816       ;
51; 0,32468     ;2,8758      ;
52; 0,33117     ;2,9345      ;
53; 0,33766     ;2,9917      ;
54; 0,34416     ;3,0475      ;
55; 0,35065     ;3,1019      ;
56; 0,35714     ;3,1546      ;
57; 0,36364     ;3,2056      ;
58; 0,37013     ;3,2549      ;
59; 0,37662     ;3,3024      ;
60; 0,38312     ;3,3481      ;
61; 0,38961     ;3,3917      ;
62; 0,3961      ;3,4334      ;
63; 0,4026      ;3,473       ;
64; 0,40909     ;3,5105      ;
65; 0,41558     ;3,5458      ;
66; 0,42208     ;3,5789      ;
67; 0,42857     ;3,6097      ;
68; 0,43506     ;3,6382      ;
69; 0,44156     ;3,6643      ;
70; 0,44805     ;3,688       ;
71; 0,45455     ;3,7093      ;
72; 0,46104     ;3,7282      ;
73; 0,46753     ;3,7446      ;
74; 0,47403     ;3,7584      ;
75; 0,48052     ;3,7698      ;
76; 0,48701     ;3,7785      ;
77; 0,49351     ;3,7848      ;
78; 0,5         ;3,7885      ;
79; 0,50649     ;3,7896      ;
80; 0,51299     ;3,7881      ;
81; 0,51948     ;3,7841      ;
82; 0,52597     ;3,7775      ;
83; 0,53247     ;3,7683      ;
